Date,Close
1961/1/5,0.497284146
1961/1/6,0.810010493
1961/1/7,0.949750073
1961/1/11,0.16388427
1961/1/12,-0.534587535
1961/1/13,0.609059694
1961/1/17,-1.391564293
1961/1/18,-0.105434899
1961/1/19,-0.114992886
1961/1/20,0.124438336
1961/1/21,-0.681599556
1961/1/24,-0.964351034
1961/1/25,-0.133713051
1961/1/26,0.810767248
1961/1/27,-0.878904551
1961/1/28,-0.396063218
1961/1/31,0.045063459
1961/2/1,-0.328819522
1961/2/2,0.746352469
1961/2/3,1.081440629
1961/2/4,0.157611147
1961/2/7,-0.369465238
1961/2/8,-0.577550463
1961/2/9,-0.245577153
1961/2/11,0.744449492
1961/2/14,-0.673194419
1961/2/15,-0.199477736
1961/2/16,-0.799496558
1961/2/17,0.349412943
1961/2/18,-0.327588118
1961/2/21,-1.017812626
1961/2/22,-0.100471747
1961/2/23,-0.367627097
1961/2/24,-0.196239923
1961/2/25,-0.299617073
1961/2/28,-0.544727945
1961/3/1,-0.327099358
1961/3/2,0.438101817
1961/3/3,0.430434855
1961/3/4,-0.279857855
1961/3/7,-1.554632625
1961/3/8,-1.059339091
1961/3/9,-0.432873615
1961/3/10,-0.745090947
1961/3/11,0.959633771
1961/3/14,1.068380339
1961/3/15,-0.613580727
1961/3/16,-0.459896947
1961/3/17,0.584264646
1961/3/18,-0.577464742
1961/3/22,-0.690370059
1961/3/23,-0.923940228
1961/3/24,0.001719617
1961/3/25,0.491420577
1961/3/28,2.213090913
1961/3/29,-4.20831645
1961/3/30,-0.61868732
1961/3/31,-0.459227392
1961/4/1,0.087759245
1961/4/4,-0.36573131
1961/4/5,2.627809528
1961/4/6,0.483066742
1961/4/7,1.97522663
1961/4/8,-0.21576857
1961/4/11,-1.499445342
1961/4/12,-1.175407671
1961/4/13,-0.626632233
1961/4/14,1.692778171
1961/4/15,-1.170608218
1961/4/18,-1.057641926
1961/4/19,-0.437522058
1961/4/20,-1.00488701
1961/4/21,2.180792537
1961/4/22,-0.987781547
1961/4/25,0.958938282
1961/4/26,0.51083101
1961/4/27,1.807790503
1961/4/29,0.475355994
1961/5/5,-1.12216248
1961/5/6,-0.075662259
1961/5/9,-0.011182601
1961/5/10,0.117779645
1961/5/11,-0.577324777
1961/5/12,0.232188809
1961/5/13,-0.812876592
1961/5/16,-0.127853046
1961/5/17,-0.152422457
1961/5/18,-0.564673524
1961/5/19,0.038557156
1961/5/20,0.127846969
1961/5/23,-0.796020248
1961/5/24,-0.779300381
1961/5/25,-0.63946296
1961/5/26,-1.501838667
